Garden,Date,Doy,Species,Initial vegetative growth,Young leaves unfolding,Flowers opening,Flowering intensity,Ripe fruits,Senescence,Senescence intensity,Maintenance,Remarks
Halle,24.03.2023,83,Anemone hupenhensis,no,y,no,,no,no,,,
Halle,24.03.2023,83,Carex sylvatica,no,no,no,,no,no,,,
Halle,24.03.2023,83,Anemone nemorosa,no,y,y,15,no,no,,,
Halle,24.03.2023,83,Corydalis solida,no,no,no,,no,no,,,
Halle,24.03.2023,83,Hepatica transsilvanica,no,no,y,25,no,y,55,,16 flowers
Halle,24.03.2023,83,Arum italicum,no,y,no,,no,no,,,
Halle,24.03.2023,83,Hepatica nobilis,y,y,y,75,no,y,70,,32 flowers
Halle,24.03.2023,83,Asarum europaeum,no,y,no,,no,y,30,,
Halle,24.03.2023,83,Polygonatum multiflorum,no,no,no,,no,no,,,
Halle,24.03.2023,83,Convallaria majalis,no,no,no,,no,no,,,
Halle,24.03.2023,83,Leucojum vernum,no,no,y,35,no,no,,,
Halle,24.03.2023,83,Crocus speciosus,no,y,no,,no,no,,,
Halle,24.03.2023,83,Fragaria vesca,no,y,y,25,no,y,15,,
Halle,24.03.2023,83,Leucojum aestivum,no,y,no,,no,no,,,
Halle,24.03.2023,83,Galanthus ikariae,no,no,no,,no,no,,,
Halle,24.03.2023,83,Colchicum autumnale,no,y,no,,no,no,,,
Halle,24.03.2023,83,Galanthus plicatus,no,no,no,,no,no,,,
Halle,28.03.2023,87,Podophyllum peltatum,y,no,no,,no,no,,,
Halle,28.03.2023,87,Lathyrus vernus,no,y,y,5,no,no,,,
Halle,28.03.2023,87,Trollius europaeus,y,y,no,,no,no,,,
Halle,28.03.2023,87,Anemone hupenhensis,no,y,no,,no,no,,,
Halle,28.03.2023,87,Carex sylvatica,no,no,no,,no,no,,,
Halle,28.03.2023,87,Anemone nemorosa,no,y,y,75,no,no,,,
Halle,28.03.2023,87,Corydalis solida,no,no,no,,no,no,,,
Halle,28.03.2023,87,Hepatica transsilvanica,y,y,y,15,no,y,55,,10 flowers
Halle,28.03.2023,87,Arum italicum,no,y,no,,no,no,,,
Halle,28.03.2023,87,Hepatica nobilis,no,y,y,25,no,y,70,,14 flowers
Halle,28.03.2023,87,Asarum europaeum,no,y,no,,no,y,30,,
Halle,28.03.2023,87,Polygonatum multiflorum,no,no,no,,no,no,,,
Halle,28.03.2023,87,Convallaria majalis,no,no,no,,no,no,,,
Halle,28.03.2023,87,Leucojum vernum,no,no,y,5,no,no,,,
Halle,28.03.2023,87,Crocus speciosus,no,y,no,,no,no,,,
Halle,28.03.2023,87,Fragaria vesca,no,y,y,25,no,y,15,,
Halle,28.03.2023,87,Leucojum aestivum,no,y,no,,no,no,,,
Halle,28.03.2023,87,Galanthus ikariae,no,no,no,,no,no,,,
